AIRAC,sectorID,geometry(WKT)
20220703,LECMCJL,"POLYGON ((-1.39444444444444 39, -1.48277777777778 39, -2.915 39, -2.99166666666667 39, -3.04583333333333 39, -3.1 39, -3.20361111111111 39, -3.41666666666667 39, -3.36638888888889 39.1386111111111, -3.20416666666667 39.5830555555556, -3.14916666666667 39.7333333333333, -2.9625 40.2408333333333, -2.91055555555556 40.3808333333333, -2.86666666666667 40.5, -2.84916666666667 40.7783333333333, -2.83333333333333 41.0333333333333, -2.5 41.0333333333333, -2.41666666666667 41.0333333333333, -2.15833333333333 41.0333333333333, -2 41.0333333333333, -1.88666666666667 41.0333333333333, -1.77694444444444 41.0333333333333, -1.68722222222222 41.0333333333333, -1.57777777777778 41.0333333333333, -1.33333333333333 41.0333333333333, -0.616666666666667 41.1166666666667, -0.772222222222222 40.7041666666667, -0.925555555555556 40.2308333333333, -0.971388888888889 40.0880555555556, -1 40, -1.04055555555556 39.9116666666667, -1.25 39.15, -1.39444444444444 39))"
20220703,LECBGOI,"POLYGON ((1.72805555555556 42.5044444444444, 1.80888888888889 42.0247222222222, 1.81833333333333 41.9702777777778, 1.85638888888889 41.7558333333333, 1.88277777777778 41.6066666666667, 1.89055555555556 41.5633333333333, 1.93722222222222 41.2836111111111, 1.95027777777778 41.2055555555556, 1.96722222222222 41.1041666666667, 1.97805555555556 41.0430555555556, 1.98583333333333 40.9988888888889, 2.04444444444444 40.6530555555556, 2.05361111111111 40.6005555555556, 2.10888888888889 40.2961111111111, 2.26361111111111 40.0144444444444, 1.9675 39.7244444444444, 1.40694444444444 39.705, 0.629722222222222 39.6452777777778, 0.842222222222222 40.2097222222222, 1.07583333333333 40.3733333333333, 0.537222222222222 40.7036111111111, 0.255555555555556 40.7047222222222, 0.5841666666666669 41.5669444444444, 0.713888888888889 42.0316666666667, 0.7775 42.2561111111111, 0.7333333333333329 42.85, 0.75 42.8452777777778, 0.861944444444444 42.8158333333333, 0.997222222222222 42.7747222222222, 1.11388888888889 42.7752777777778, 1.22944444444444 42.7244444444444, 1.375 42.6944444444444, 1.44027777777778 42.6063888888889, 1.42666666666667 42.5919444444444, 1.42388888888889 42.5422222222222, 1.44777777777778 42.5405555555556, 1.46416666666667 42.5169444444444, 1.43083333333333 42.4852777777778, 1.43722222222222 42.4775, 1.46472222222222 42.4411111111111, 1.51277777777778 42.4352777777778, 1.54888888888889 42.4405555555556, 1.6475 42.4711111111111, 1.67138888888889 42.5038888888889, 1.69694444444444 42.4930555555556, 1.72805555555556 42.5044444444444))"
20220703,LECBP2R,"POLYGON ((0.7333333333333329 42.85, 0.7775 42.2561111111111, 0.713888888888889 42.0316666666667, 0.5841666666666669 41.5669444444444, 0.255555555555556 40.7047222222222, 0.158333333333333 40.7052777777778, -0.0247222222222222 40.2316666666667, -0.331111111111111 40.2308333333333, -0.413888888888889 40.2333333333333, -0.589444444444444 40.2319444444444, -0.925555555555556 40.2308333333333, -0.772222222222222 40.7041666666667, -0.616666666666667 41.1166666666667, -0.391666666666667 41.7833333333333, -0.291666666666667 42.1, -0.06666666666666669 42.7, 0.151111111111111 42.7322222222222, 0.366666666666667 42.7, 0.416666666666667 42.7, 0.558333333333333 42.6930555555556, 0.7333333333333329 42.85, 0.7333333333333329 42.85))"
20230117,LECBLVU,"POLYGON ((0.158333333333333 40.7052777777778, 0.255555555555556 40.7047222222222, 0.537222222222222 40.7036111111111, 1.07583333333333 40.3733333333333, 0.842222222222222 40.2097222222222, 0.629722222222222 39.6452777777778, 0.483333333333333 39.25, 0.483333333333333 39.2088888888889, 0.483333333333333 39.1666666666667, 0.483333333333333 39.1361111111111, 0.483333333333333 39.0641666666667, 0.483333333333333 38.9419444444444, 0.483333333333333 38.9252777777778, -1.06611111111111 38.4275, -1.0975 38.4658333333333, -1.23805555555556 38.6769444444444, -1.35972222222222 38.7133333333333, -1.33333333333333 38.8333333333333, -1.29527777777778 39.0052777777778, -1.39444444444444 39, -1.25 39.15, -1.04055555555556 39.9116666666667, -1 40, -0.971388888888889 40.0880555555556, -0.925555555555556 40.2308333333333, -0.589444444444444 40.2319444444444, -0.413888888888889 40.2333333333333, -0.331111111111111 40.2308333333333, -0.0247222222222222 40.2316666666667, 0.158333333333333 40.7052777777778))"
20230117,LECBGO3,"POLYGON ((1.72805555555556 42.5044444444444, 1.80888888888889 42.0247222222222, 1.81833333333333 41.9702777777778, 1.85638888888889 41.7558333333333, 1.88277777777778 41.6066666666667, 1.89055555555556 41.5633333333333, 1.93722222222222 41.2836111111111, 1.95027777777778 41.2055555555556, 1.96722222222222 41.1041666666667, 1.97805555555556 41.0430555555556, 1.98583333333333 40.9988888888889, 2.04444444444444 40.6530555555556, 2.05361111111111 40.6005555555556, 2.10888888888889 40.2961111111111, 2.26361111111111 40.0144444444444, 1.9675 39.7244444444444, 1.40694444444444 39.705, 0.629722222222222 39.6452777777778, 0.842222222222222 40.2097222222222, 1.07583333333333 40.3733333333333, 0.537222222222222 40.7036111111111, 0.255555555555556 40.7047222222222, 0.5841666666666669 41.5669444444444, 0.713888888888889 42.0316666666667, 0.7775 42.2561111111111, 0.7333333333333329 42.85, 0.75 42.8452777777778, 0.861944444444444 42.8158333333333, 0.997222222222222 42.7747222222222, 1.11388888888889 42.7752777777778, 1.22944444444444 42.7244444444444, 1.375 42.6944444444444, 1.44027777777778 42.6063888888889, 1.42666666666667 42.5919444444444, 1.42388888888889 42.5422222222222, 1.44777777777778 42.5405555555556, 1.46416666666667 42.5169444444444, 1.43083333333333 42.4852777777778, 1.43722222222222 42.4775, 1.46472222222222 42.4411111111111, 1.51277777777778 42.4352777777778, 1.54888888888889 42.4405555555556, 1.6475 42.4711111111111, 1.67138888888889 42.5038888888889, 1.69694444444444 42.4930555555556, 1.72805555555556 42.5044444444444, 1.72805555555556 42.5044444444444))"
20230117,LECBLVS,"POLYGON ((0.629722222222222 39.6452777777778, 1.40694444444444 39.705, 1.9675 39.7244444444444, 1.71583333333333 39.2213888888889, 1.88444444444444 38.6086111111111, 2.125 37.7166666666667, 1.5 37.4472222222222, 1.06944444444444 37.3138888888889, 0.1 36.9166666666667, -0.0236111111111111 36.8711111111111, -1.02361111111111 36.4536111111111, -1.49888888888889 36.6377777777778, -1.64638888888889 36.8833333333333, -1.70277777777778 36.9769444444444, -1.75083333333333 37.0633333333333, -1.77222222222222 37.09, -1.72416666666667 37.2744444444444, -1.56472222222222 37.8827777777778, -1.5575 37.9075, -1.53111111111111 38.0016666666667, -1.45666666666667 38.2722222222222, -1.35972222222222 38.7133333333333, -1.33333333333333 38.8333333333333, -1.23805555555556 38.6769444444444, -1.0975 38.4658333333333, -1.06611111111111 38.4275, 0.483333333333333 38.9252777777778, 0.483333333333333 38.9419444444444, 0.483333333333333 39.0641666666667, 0.483333333333333 39.1361111111111, 0.483333333333333 39.1666666666667, 0.483333333333333 39.2088888888889, 0.483333333333333 39.25, 0.629722222222222 39.6452777777778))"
20230117,LECSNO1,"POLYGON ((-4.37388888888889 37.5333333333333, -4.74166666666667 37.5333333333333, -4.60833333333333 37.8330555555556, -4.31722222222222 38.4794444444444, -4.30027777777778 38.5194444444444, -4.08111111111111 39, -3.90833333333333 39, -3.70722222222222 39, -3.65444444444444 39, -3.54222222222222 39, -3.41666666666667 39, -3.20361111111111 39, -3.1 39, -3.04583333333333 39, -3.03888888888889 39, -2.99166666666667 39, -2.915 39, -1.48277777777778 39, -1.39444444444444 39, -1.29527777777778 39.0052777777778, -1.33333333333333 38.8333333333333, -1.35972222222222 38.7133333333333, -1.45666666666667 38.2722222222222, -1.53111111111111 38.0016666666667, -1.675 37.9591666666667, -1.677491258691554 37.95822247182429, -1.66777777777778 37.9519444444444, -2.82861111111111 37.5219444444444, -3.01027777777778 37.4355555555556, -3.2875 37.7022222222222, -3.54222222222222 37.5269444444444, -3.77888888888889 37.5277777777778, -4.37388888888889 37.5333333333333))"
20230117,LECSYES,"POLYGON ((-1.675 37.9591666666667, -1.677491258691554 37.95822247182429, -1.66777777777778 37.9519444444444, -2.82861111111111 37.5219444444444, -3.01027777777778 37.4355555555556, -3.2875 37.7022222222222, -3.27138888888889 37.8166666666667, -3.21305555555556 38.2216666666667, -3.1 39, -3.04583333333333 39, -3.03888888888889 39, -2.99166666666667 39, -2.915 39, -1.48277777777778 39, -1.39444444444444 39, -1.29527777777778 39.0052777777778, -1.33333333333333 38.8333333333333, -1.35972222222222 38.7133333333333, -1.45666666666667 38.2722222222222, -1.53111111111111 38.0016666666667, -1.675 37.9591666666667))"
20230117,LECBG23,"POLYGON ((1.72805555555556 42.5044444444444, 1.80888888888889 42.0247222222222, 1.81833333333333 41.9702777777778, 1.85638888888889 41.7558333333333, 1.88277777777778 41.6066666666667, 1.89055555555556 41.5633333333333, 1.93722222222222 41.2836111111111, 1.95027777777778 41.2055555555556, 1.96722222222222 41.1041666666667, 1.97805555555556 41.0430555555556, 1.98583333333333 40.9988888888889, 2.04444444444444 40.6530555555556, 2.05361111111111 40.6005555555556, 2.10888888888889 40.2961111111111, 2.26361111111111 40.0144444444444, 1.9675 39.7244444444444, 1.40694444444444 39.705, 0.629722222222222 39.6452777777778, 0.842222222222222 40.2097222222222, 1.07583333333333 40.3733333333333, 0.537222222222222 40.7036111111111, 0.255555555555556 40.7047222222222, 0.5841666666666669 41.5669444444444, 0.713888888888889 42.0316666666667, 0.7775 42.2561111111111, 0.7333333333333329 42.85, 0.75 42.8452777777778, 0.861944444444444 42.8158333333333, 0.997222222222222 42.7747222222222, 1.11388888888889 42.7752777777778, 1.22944444444444 42.7244444444444, 1.375 42.6944444444444, 1.44027777777778 42.6063888888889, 1.42666666666667 42.5919444444444, 1.42388888888889 42.5422222222222, 1.44777777777778 42.5405555555556, 1.46416666666667 42.5169444444444, 1.43083333333333 42.4852777777778, 1.43722222222222 42.4775, 1.46472222222222 42.4411111111111, 1.51277777777778 42.4352777777778, 1.54888888888889 42.4405555555556, 1.6475 42.4711111111111, 1.67138888888889 42.5038888888889, 1.69694444444444 42.4930555555556, 1.72805555555556 42.5044444444444))"
20230117,LECBP2R,"POLYGON ((0.7333333333333329 42.85, 0.7775 42.2561111111111, 0.713888888888889 42.0316666666667, 0.5841666666666669 41.5669444444444, 0.255555555555556 40.7047222222222, 0.158333333333333 40.7052777777778, -0.0247222222222222 40.2316666666667, -0.331111111111111 40.2308333333333, -0.413888888888889 40.2333333333333, -0.589444444444444 40.2319444444444, -0.925555555555556 40.2308333333333, -0.772222222222222 40.7041666666667, -0.616666666666667 41.1166666666667, -0.391666666666667 41.7833333333333, -0.291666666666667 42.1, -0.06666666666666669 42.7, 0.151111111111111 42.7322222222222, 0.366666666666667 42.7, 0.416666666666667 42.7, 0.558333333333333 42.6930555555556, 0.7333333333333329 42.85, 0.7333333333333329 42.85))"
20230117,LFBBNH4,"POLYGON ((3.36916666666667 44.8588888888889, 4.27361111111111 44.4316666666667, 4.22194444444444 44.085, 4.11666666666667 43.95, 4.02222222222222 43.8041666666667, 3.89194444444444 43.6030555555556, 3.20083333333333 42.4311111111111, 3.17638888888889 42.4327777777778, 3.16666666666667 42.4333333333333, 3.12833333333333 42.4322222222222, 2.98305555555556 42.4802777777778, 2.9075 42.4658333333333, 2.83222222222222 42.4513888888889, 2.69166666666667 42.4166666666667, 2.53333333333333 42.4, 2.21638888888889 42.4333333333333, 2.16666666666667 42.3833333333333, 2.10472222222222 42.3825, 2.10027777777778 42.3816666666667, 2.05861111111111 42.3616666666667, 2.00833333333333 42.3669444444444, 1.72805555555556 42.5044444444444, 1.69694444444444 42.4930555555556, 1.67138888888889 42.5038888888889, 1.6475 42.4711111111111, 1.54888888888889 42.4405555555556, 1.51277777777778 42.4352777777778, 1.46472222222222 42.4411111111111, 1.43722222222222 42.4775, 1.43083333333333 42.4852777777778, 1.46416666666667 42.5169444444444, 1.44777777777778 42.5405555555556, 1.42388888888889 42.5422222222222, 1.42666666666667 42.5919444444444, 1.44027777777778 42.6063888888889, 1.375 42.6944444444444, 1.22944444444444 42.7244444444444, 1.11388888888889 42.7752777777778, 0.997222222222222 42.7747222222222, 0.861944444444444 42.8158333333333, 0.75 42.8452777777778, 0.7333333333333329 42.85, 0.558333333333333 42.6930555555556, 0.416666666666667 42.7, 0.366666666666667 42.7, 0.151111111111111 42.7322222222222, -0.06666666666666669 42.7, -0.193611111111111 42.7966666666667, -0.2 42.7991666666667, -0.273611111111111 42.8391666666667, 0.6475 43.4922222222222, 1.47222222222222 43.9194444444444, 2.625 44.5166666666667, 3.36916666666667 44.8588888888889))"
20230117,LECPIRE,"POLYGON ((1.16472222222222 39.2780555555556, 1.38333333333333 39.2869444444444, 1.43416666666667 39.2983333333333, 1.6575 39.305, 1.95111111111111 39.3102777777778, 2.28083333333333 39.3238888888889, 2.36388888888889 39.2805555555556, 2.49194444444444 39.2130555555556, 2.51861111111111 39.1988888888889, 2.57361111111111 39.1697222222222, 2.61277777777778 39.1797222222222, 2.91083333333333 39.2561111111111, 3.185 39.3255555555556, 3.29805555555556 39.1841666666667, 3.13138888888889 39.1177777777778, 2.89972222222222 39.0247222222222, 2.22805555555556 38.7511111111111, 2.18555555555556 38.7333333333333, 1.88444444444444 38.6086111111111, 1.46666666666667 38.4333333333333, 1.11805555555556 38.6083333333333, 1.05472222222222 38.6083333333333, 0.426111111111111 38.41, 0.483333333333333 38.5, 0.483333333333333 38.6083333333333, 0.483333333333333 38.9013888888889, 0.483333333333333 38.9205555555556, 0.483333333333333 38.9252777777778, 0.483333333333333 38.9419444444444, 0.483333333333333 39.0641666666667, 0.483333333333333 39.1361111111111, 0.483333333333333 39.1666666666667, 0.483333333333333 39.2088888888889, 0.483333333333333 39.25, 1.16472222222222 39.2780555555556))"
